iter	Passed	Remaining
0	143	143029
1	145	72535
2	147	49146
3	151	37660
4	153	30511
5	155	25715
6	156	22225
7	158	19693
8	161	17817
9	163	16203
10	165	14887
11	167	13772
12	168	12822
13	171	12080
14	173	11420
15	175	10818
16	176	10230
17	178	9718
18	180	9336
19	195	9585
20	197	9195
21	198	8838
22	200	8535
23	204	8304
24	206	8036
25	207	7788
26	209	7564
27	211	7346
28	215	7199
29	217	7020
30	219	6860
31	222	6723
32	225	6606
33	227	6462
34	229	6335
35	231	6211
36	235	6119
37	237	6010
38	239	5896
39	241	5794
40	244	5724
41	247	5634
42	248	5536
43	250	5446
44	254	5404
45	257	5339
46	258	5249
47	260	5168
48	262	5099
49	266	5057
50	268	4995
51	270	4925
52	272	4864
53	274	4800
54	276	4757
55	278	4700
56	280	4645
57	282	4593
58	285	4559
59	314	4924
60	316	4868
61	318	4822
62	321	4779
63	322	4716
64	324	4663
65	326	4618
66	330	4608
67	334	4580
68	336	4539
69	339	4507
70	358	4692
71	361	4661
72	364	4622
73	365	4575
74	367	4528
75	370	4501
76	387	4640
77	389	4605
78	392	4580
79	401	4620
80	431	4892
81	433	4849
82	435	4813
83	438	4780
84	440	4740
85	441	4697
86	445	4671
87	461	4780
88	462	4739
89	464	4693
90	466	4658
91	469	4629
92	471	4593
93	472	4555
94	474	4518
95	477	4494
96	507	4721
97	510	4696
98	537	4889
99	538	4850
100	540	4815
101	543	4789
102	546	4754
103	547	4719
104	549	4681
105	551	4647
106	552	4611
107	555	4590
108	567	4636
109	569	4605
110	570	4572
111	573	4545
112	576	4524
113	578	4495
114	580	4467
115	582	4439
116	585	4417
117	587	4394
118	590	4368
119	592	4346
120	596	4334
121	599	4314
122	601	4289
123	604	4269
124	608	4257
125	610	4237
126	612	4213
127	616	4198
128	624	4215
129	627	4200
130	630	4183
131	632	4161
132	634	4138
133	641	4149
134	644	4132
135	648	4117
136	651	4105
137	653	4084
138	656	4066
139	659	4051
140	662	4038
141	665	4021
142	669	4009
143	672	4000
144	675	3982
145	679	3972
146	683	3967
147	686	3950
148	689	3938
149	700	3967
150	715	4024
151	719	4011
152	722	3999
153	738	4054
154	740	4034
155	743	4021
156	746	4007
157	748	3987
158	752	3978
159	768	4036
160	771	4017
161	774	4004
162	777	3993
163	779	3975
164	781	3956
165	784	3942
166	787	3930
167	789	3909
168	791	3891
169	793	3875
170	797	3864
171	800	3852
172	802	3836
173	804	3819
174	808	3812
175	811	3798
176	813	3783
177	816	3770
178	820	3761
179	822	3746
180	824	3731
181	827	3718
182	842	3762
183	844	3747
184	847	3733
185	851	3727
186	854	3713
187	856	3698
188	859	3688
189	889	3792
190	893	3782
191	896	3773
192	898	3757
193	901	3746
194	905	3737
195	906	3720
196	909	3708
197	913	3698
198	916	3687
199	918	3675
200	922	3665
201	927	3665
202	930	3651
203	933	3641
204	945	3668
205	947	3653
206	949	3639
207	952	3625
208	956	3619
209	958	3605
210	960	3592
211	963	3581
212	967	3573
213	969	3560
214	971	3547
215	974	3537
216	1004	3624
217	1008	3615
218	1020	3637
219	1022	3624
220	1024	3610
221	1026	3597
222	1029	3587
223	1049	3637
224	1053	3627
225	1054	3612
226	1057	3599
227	1059	3588
228	1063	3580
229	1065	3567
230	1067	3554
231	1070	3543
232	1073	3533
233	1075	3520
234	1077	3508
235	1079	3495
236	1082	3484
237	1096	3510
238	1099	3500
239	1101	3489
240	1105	3481
241	1108	3471
242	1110	3458
243	1112	3448
244	1116	3440
245	1118	3429
246	1121	3417
247	1123	3407
248	1126	3398
249	1129	3388
250	1131	3375
251	1133	3364
252	1137	3359
253	1140	3350
254	1143	3340
255	1148	3337
256	1150	3327
257	1154	3321
258	1159	3316
259	1161	3305
260	1163	3294
261	1167	3289
262	1170	3279
263	1172	3269
264	1175	3260
265	1179	3253
266	1181	3243
267	1183	3233
268	1187	3226
269	1191	3220
270	1193	3210
271	1197	3205
272	1214	3234
273	1217	3225
274	1220	3218
275	1223	3210
276	1226	3200
277	1230	3194
278	1258	3252
279	1259	3239
280	1262	3230
281	1275	3248
